"","Field_ID","Date","Date2","Replicate","Treatment","Dispersal","Salinity","Salinity_real","NH4um","NO3um","PO4um","Maple_dmass","Spartina_dmass","Phrag_dmass","Cmin","Sample..","shannon","richness","J"
"CSI004",4,"6/11/15",0,"A",4,3,0,0.3,0.52,0,0,2.66,2.7,8.25,46.72,"A_4_11JUN15",4.03549571928376,587,0.633185820344908
"CSI005",5,"6/11/15",0,"A",5,2,5,5.72,0.92,0,7.23,2.19,1.56,5.03,15.1,"A_5_11JUN15",3.76623204463069,456,0.61536748736571
"CSI006",6,"6/11/15",0,"A",6,3,5,6.04,0.73,0.97,5.09,2.04,1.82,5.01,54.99,"A_6_11JUN15",4.04645947967619,617,0.629971025970045
"CSI007",7,"6/11/15",0,"A",7,2,9,9.57,1.11,0,6.23,1.28,1.14,5.2,155.17,"A_7_11JUN15",4.31146152247149,719,0.655589062977366
"CSI008",8,"6/11/15",0,"A",8,3,9,10.6,1.02,0,7.27,1.39,0.47,4.01,0,"A_8_11JUN15",3.86727337738856,589,0.606466829924868
"CSI009",9,"6/11/15",0,"A",9,2,13,15.32,0.85,0,8.37,1.07,0.83,0.79,3.9,"A_9_11JUN15",4.43094089249733,732,0.671923427237676
"CSI010",10,"6/11/15",0,"A",10,3,13,13.41,1.33,0,8.36,2.23,1.66,5.48,81.56,"A_10_11JUN15",4.31214125526855,719,0.655692421289896
"CSI011",11,"6/11/15",0,"A",11,2,0,0.34,0.92,0,0,2.52,1.85,5.2,166.85,"A_11_11JUN15",3.9748561211619,505,0.638779815613874
"CSI015",15,"6/11/15",0,"B",4,3,0,0.31,0.82,0.81,7.07,1.7,1.75,5.17,70.73,"B_4_11JUN15",4.88047348664917,791,0.73148222236662
"CSI016",16,"6/11/15",0,"B",5,2,5,7.06,0.81,0,4.14,1.85,1.93,6.52,11.7,"B_5_11JUN15",4.26937848134661,655,0.658538915044649
"CSI017",17,"6/11/15",0,"B",6,3,5,6.12,0.66,0.6,5.52,1.89,1.56,4.3,3.96,"B_6_11JUN15",4.87540229559967,785,0.731558084252057
"CSI018",19,"6/11/15",0,"B",8,3,9,10.11,0.73,0,5.91,1.76,1.62,5.47,14.48,"B_8_11JUN15",4.53705706154527,652,0.700324196785259
"CSI019",20,"6/11/15",0,"B",9,2,13,13.18,0.62,0,3.2,1.69,1.41,2.84,30.5,"B_9_11JUN15",5.49106539188656,980,0.797362979932351
"CSI020",21,"6/11/15",0,"B",10,3,13,12.76,0.7,1.06,0,1.67,1.51,4.67,58.35,"B_10_11JUN15",4.33647901287808,655,0.668888972184515
"CSI021",22,"6/11/15",0,"B",11,2,0,0.33,0.69,0,0.17,2.1,1.88,5.55,26.49,"B_11_11JUN15",3.57109862557064,530,0.569463436964499
"CSI025",26,"6/11/15",0,"C",4,3,0,0.33,1.08,0,0,2.89,2.4,7.26,73.4,"C_4_12JUN15",3.41976818986665,460,0.557960544074718
"CSI026",27,"6/11/15",0,"C",5,2,5,5.18,1.51,0,5.62,2.08,1.83,5.19,77.25,"C_5_12JUN15",3.74792350436203,480,0.607275652019529
"CSI027",28,"6/11/15",0,"C",6,3,5,5.39,2.05,0,6.56,1.9,1.7,5.42,8.08,"C_6_12JUN15",4.25489120460651,573,0.67015247427775
"CSI028",29,"6/11/15",0,"C",7,2,9,9.24,1.08,0.77,7.64,1.43,1.39,5.52,1.18,"C_7_12JUN15",4.60883170026253,699,0.703829793709605
"CSI029",30,"6/11/15",0,"C",8,3,9,9.68,1.2,0,6.46,1.86,1.57,4.53,1.85,"C_8_12JUN15",4.42511016199709,690,0.67711504112697
"CSI030",31,"6/11/15",0,"C",9,2,13,13.43,1.07,0,5.2,2.03,1.57,4.94,52.41,"C_9_12JUN15",4.60225246869375,760,0.693946205560433
"CSI031",32,"6/11/15",0,"C",10,3,13,13.12,1.2,0,6.6,1.41,1.63,5.27,13.56,"C_10_12JUN15",4.50881710512064,579,0.708981010084863
"CSI032",33,"6/11/15",0,"C",11,2,0,0.31,0.92,0,0,2.67,2.45,7.24,58.58,"C_11_12JUN15",3.46323275433813,389,0.58098132060338
"CSI036",37,"6/11/15",0,"D",4,3,0,0.32,1.24,0,0,2.19,2.05,5.7,189,"D_4_12JUN15",3.13575776383414,438,0.515755299147631
"CSI037",38,"6/11/15",0,"D",5,2,5,7.28,0.99,0,6.03,1.91,1.69,2.91,0.73,"D_5_12JUN15",4.73071330178366,824,0.704713863812566
"CSI038",39,"6/11/15",0,"D",6,3,5,5.17,1.15,0,8.88,2.13,1.93,6.24,37.37,"D_6_12JUN15",5.02925628225981,776,0.755953678900352
"CSI039",40,"6/11/15",0,"D",7,2,9,9.64,0.72,0,6.87,2.4,1.51,5.56,18.14,"D_7_12JUN15",4.13287625307156,691,0.632258106623001
"CSI040",41,"6/11/15",0,"D",8,3,9,9.16,1.24,0,7.39,2.24,1.51,5.3,5.8,"D_8_12JUN15",4.05784760643984,531,0.646887800000734
"CSI042",43,"6/11/15",0,"D",10,3,13,12.5,3.63,0,4.1,2.03,1.41,4.54,35.26,"D_10_12JUN15",4.95084925576435,712,0.753935773207542
"CSI043",44,"6/11/15",0,"D",11,2,0,0.3,1.18,1.22,0,2.02,2.13,1.66,100.9,"D_11_12JUN15",3.34830400083347,516,0.536229100551036
"CSI047",224,"7/26/15",45,"A",4,3,0,0.53,1.09,0,0,2.66,2.7,8.25,46.72,"A_4_11JUN15",4.21033464374031,690,0.644250834688351
"CSI048",225,"7/26/15",45,"A",5,2,5,4.33,1.77,0,0,2.19,1.56,5.03,15.1,"A_5_11JUN15",4.34781175043146,666,0.668916031130882
"CSI049",226,"7/26/15",45,"A",6,3,5,4.51,1.59,0,0,2.04,1.82,5.01,54.99,"A_6_11JUN15",4.21415701269704,753,0.6363165928043
"CSI050",227,"7/26/15",45,"A",7,2,9,7.77,1.73,0,0,1.28,1.14,5.2,155.17,"A_7_11JUN15",3.52787376950972,454,0.576837147733552
"CSI051",228,"7/26/15",45,"A",8,3,9,8.54,1.41,0.54,0,1.39,0.47,4.01,0,"A_8_11JUN15",2.60813024126527,306,0.455941973640482
"CSI052",229,"7/26/15",45,"A",9,2,13,10.55,1.04,0,0,1.07,0.83,0.79,3.9,"A_9_11JUN15",3.3087620239134,355,0.563740780690334
"CSI053",230,"7/26/15",45,"A",10,3,13,10.92,1.18,0,0.08,2.23,1.66,5.48,81.56,"A_10_11JUN15",4.05923254703517,595,0.635558047062058
"CSI054",231,"7/26/15",45,"A",11,2,0,0.44,1.14,0,0.11,2.52,1.85,5.2,166.85,"A_11_11JUN15",4.26148224560312,740,0.645161247320602
"CSI058",235,"7/26/15",45,"B",4,3,0,0.51,1.24,0,0,1.7,1.75,5.17,70.73,"B_4_11JUN15",5.34825572557435,972,0.777551887109384
"CSI059",236,"7/26/15",45,"B",5,2,5,5.02,1.27,0,0,1.85,1.93,6.52,11.7,"B_5_11JUN15",5.36920848441577,931,0.785525016441752
