"","Date","Date2","CSI_ID","Replicate","Number","Salinity","Salinity_Measured","shannon.source","richness.source","J.source"
"1","11-Jun-15",0,"ECU_CSI_001","A",1,13,13.39,4.8965629843548,761,0.738176982396623
"2","11-Jun-15",0,"ECU_CSI_002","A",2,0,0.33,3.91429786160787,622,0.608629506355797
"3","11-Jun-15",0,"ECU_CSI_012","B",1,13,13.35,4.75884768050458,774,0.715586164991888
"4","11-Jun-15",0,"ECU_CSI_013","B",2,0,0.32,4.64931763082464,769,0.699799033016943
"5","11-Jun-15",0,"ECU_CSI_023","C",1,13,13.85,4.65226758366974,582,0.730942618398904
"6","11-Jun-15",0,"ECU_CSI_024","C",2,0,0.3,3.00250375595563,302,0.526098781462346
"7","11-Jun-15",0,"ECU_CSI_035","D",2,0,0.32,4.96589596546141,934,0.726177496011217
"8","29-Jun-15",18,"ECU_CSI_089","A",1,13,14.3,4.85098128331575,747,0.733360924777638
"9","29-Jun-15",18,"ECU_CSI_090","A",2,0,0.34,3.86183281065154,530,0.615639810348818
"10","29-Jun-15",18,"ECU_CSI_100","B",1,13,14.33,4.90774184984165,932,0.717898729522213
"11","29-Jun-15",18,"ECU_CSI_101","B",2,0,0.33,4.73177586411544,722,0.718893617734098
"12","29-Jun-15",18,"ECU_CSI_111","C",1,13,13.31,4.06183398594411,489,0.656159455478393
"13","29-Jun-15",18,"ECU_CSI_112","C",2,0,0.31,4.21097911174502,621,0.654924235206173
"14","29-Jun-15",18,"ECU_CSI_122","D",1,13,12.38,4.44063386639498,760,0.669576700285326
"15","29-Jun-15",18,"ECU_CSI_123","D",2,0,0.32,3.95064928029744,474,0.641213495021708
"16","26-Jul-15",45,"ECU_CSI_221","A",1,13,11.31,2.17818267173542,193,0.414300444908487
"17","26-Jul-15",45,"ECU_CSI_222","A",2,0,0.26,3.72220083041245,531,0.593380170937208
"18","26-Jul-15",45,"ECU_CSI_232","B",1,13,11.9,4.29182348415926,736,0.650289045015527
"19","26-Jul-15",45,"ECU_CSI_233","B",2,0,0.25,4.56723721149604,664,0.703000676242503
"20","26-Jul-15",45,"ECU_CSI_243","C",1,13,10.59,4.0604468932755,439,0.667593020426847
"21","26-Jul-15",45,"ECU_CSI_244","C",2,0,0.23,4.48484099892884,609,0.699464771407298
"22","26-Jul-15",45,"ECU_CSI_254","D",1,13,9.43,4.78893086948052,687,0.733275241469816
"23","26-Jul-15",45,"ECU_CSI_255","D",2,0,0.24,4.75413616760688,681,0.728763817144099
