"","richness","Dispersal","Date2","Salinity_real","lower","upper","mean_rich"
"1",558.877921387302,3,0,0,472.768569207612,640.88148126314,558.877921387302
"2",482.978387329179,2,0,0,416.669652929676,555.604290179627,482.978387329179
"3",835.267193805018,3,45,0,683.425163524973,996.872655750867,835.267193805018
"4",721.832061734552,2,45,0,577.168746938919,888.049043434653,721.832061734552
"5",656.327107128778,3,18,0,560.304875022156,742.066259118908,656.327107128778
"6",567.193291469834,2,18,0,481.14174670044,660.68114637953,567.193291469834
"7",566.302732426022,3,0,1,487.076923176619,639.324172104325,566.302732426022
"8",500.665871560651,2,0,1,436.547442492985,568.762773491521,500.665871560651
"9",799.363130117291,3,45,1,669.187795840683,930.18927381246,799.363130117291
"10",706.713592073132,2,45,1,577.542609455056,853.330881447807,706.713592073132
"11",650.020179766626,3,18,1,563.473528863606,724.142762033693,650.020179766626
"12",574.680115776031,2,18,1,496.061264521347,659.437723259556,574.680115776031
"13",573.826183645095,3,0,2,501.869842683319,637.885961447131,573.826183645095
"14",519.001101336531,2,0,2,457.117483496646,586.567830055858,519.001101336531
"15",765.002407050211,3,45,2,656.680151140586,872.544725596596,765.002407050211
"16",691.911772415251,2,45,2,575.369699503987,817.947332085556,691.911772415251
"17",643.773858361961,3,18,2,567.643820063013,707.678528015499,643.773858361961
"18",582.265764484834,2,18,2,508.258281971427,657.719679120745,582.265764484834
"19",581.449585500117,3,0,3,514.595540501624,641.332138464872,581.449585500117
"20",538.007798192616,2,0,3,478.22434327673,602.5824468233,538.007798192616
"21",732.118683916213,3,45,3,636.444061109934,826.507649780272,732.118683916213
"22",677.419970659448,2,45,3,571.484282457757,778.359306283027,677.419970659448
"23",637.587560526263,3,18,3,570.09083402234,693.620641655349,637.587560526263
"24",589.951542056206,2,18,3,521.882332572256,660.09428137121,589.951542056206
"25",589.174265856364,3,0,4,527.403278954119,644.435240263331,589.174265856364
"26",557.710552387401,2,0,4,497.864810569836,621.51199097469,557.710552387401
"27",700.648471690401,3,45,4,615.944472049624,783.900161490945,700.648471690401
"28",663.231693610843,2,45,4,571.491792350298,748.761497392554,663.231693610843
"29",631.460709467433,3,18,4,570.029741191529,686.452506314694,631.460709467433
"30",597.738770168687,2,18,4,532.266074238463,667.10087358644,597.738770168687
"31",597.001570220082,3,0,5,539.101030872406,646.707763150335,597.001570220082
"32",578.13485471618,2,0,5,521.878407995355,639.672005156202,578.13485471618
"33",670.531010431467,3,45,5,595.723786282649,747.881994055422,670.531010431467
"34",649.3405840718,2,45,5,561.904875642169,727.509042853916,649.3405840718
"35",625.392733936016,3,18,5,570.50309481591,675.630367734269,625.392733936016
"36",605.62878794668,2,18,5,544.496506864851,663.769932737197,605.62878794668
"37",604.93286197285,3,0,6,551.586062136006,651.158302792855,604.93286197285
"38",599.30712949022,2,0,6,545.433439920066,663.751092661411,599.30712949022
"39",641.708151971702,3,45,6,572.391466412963,713.256919515964,641.708151971702
"40",635.740417993518,2,45,6,550.188620230337,710.661280857471,635.740417993518
"41",619.383068171932,3,18,6,569.695504670041,667.15817460218,619.383068171932
"42",613.622952190727,2,18,6,553.227258465926,670.303598723267,613.622952190727
"43",612.969522609061,3,0,7,561.462469700682,661.018035371016,612.969522609061
"44",621.254768723696,2,0,7,567.072028835993,684.649762799517,621.254768723696
"45",614.124247649579,3,45,7,546.040062391407,681.624101618933,614.124247649579
"46",622.425101687287,2,45,7,542.575121442255,696.310994658426,622.425101687287
"47",613.431151851737,3,18,7,568.439374944755,660.037947683808,613.431151851737
"48",621.722637610837,2,18,7,564.66401144681,677.637716432627,621.722637610837
"49",621.112951976551,3,0,8,569.74192418959,671.30737490849,621.112951976551
"50",644.0061675726,2,0,8,588.063840551518,704.879373019469,644.0061675726
"51",587.726040868175,3,45,8,519.656467442611,656.457095694563,587.726040868175
"52",609.388669094153,2,45,8,527.007471960971,684.512667562561,609.388669094153
"53",607.536430036368,3,18,8,561.060915687448,654.117367175735,607.536430036368
"54",629.929237062877,2,18,8,572.359656928444,686.594398769747,629.929237062877
"55",629.364568520429,3,0,9,577.650506011611,682.599400645771,629.364568520429
"56",667.590761071495,2,0,9,607.977641684228,732.821268224318,667.590761071495
"57",562.462564271975,3,45,9,488.266124495776,634.352617078351,562.462564271975
"58",596.625279111759,2,45,9,510.064426776661,676.190160190064,596.625279111759
"59",601.698353119413,3,18,9,552.560782545817,651.313070681251,601.698353119413
"60",638.244161788106,2,18,9,577.595984386552,700.712738503276,638.244161788106
"61",637.725809530148,3,0,10,580.569709883751,697.956324510517,637.725809530148
"62",692.039062215621,2,0,10,623.510253547262,766.026803042157,692.039062215621
"63",538.285041343549,3,45,10,458.693287777843,617.559363089502,538.285041343549
"64",584.129212977189,2,45,10,493.744190962942,670.703206492628,584.129212977189
"65",595.916376775862,3,18,10,541.284326602271,653.039007351359,595.916376775862
"66",646.668841655847,2,18,10,578.697145110031,713.876642235012,646.668841655847
"67",646.198131389853,3,0,11,583.633030128085,716.227452555717,646.198131389853
"68",717.382701437635,2,0,11,637.228210967174,802.547048461938,717.382701437635
"69",515.146792230103,3,45,11,431.487346230122,599.617591752053,515.146792230103
"70",571.894871704617,2,45,11,477.603894611538,668.295478580078,571.894871704617
"71",590.189961911354,3,18,11,532.469333168391,653.350088295996,590.189961911354
"72",655.204725409378,2,18,11,580.960300426486,728.419694539995,655.204725409378
"73",654.783009832061,3,0,12,584.92165308071,735.954499558952,654.783009832061
"74",743.65446753006,2,0,12,649.79650334313,840.771615935507,743.65446753006
"75",493.003143618093,3,45,12,404.946292429874,585.231367345931,493.003143618093
"76",559.916773576624,2,45,12,456.330243994815,668.543894484449,559.916773576624
