"","richness","Dispersal","Day","Salinity_Measured","lower","upper"
"1",5.94247838249737,3,0,0,4.63318591241492,7.432638699875
"2",5.38224785088861,2,0,0,4.19260201308364,6.58018250312632
"3",5.80033696482346,3,9,0,4.70558978073671,7.01966519554997
"4",5.2535068962642,2,9,0,4.34828744254148,6.17339979644643
"5",5.66159550610907,3,18,0,4.76290070392105,6.7312660518145
"6",5.12784536753334,2,18,0,4.3036473297671,5.93415613938525
"7",5.5261726808608,3,27,0,4.67922198816038,6.47091916622936
"8",5.00518960620982,2,27,0,4.19778536793674,5.80274833072573
"9",5.39398910885456,3,36,0,4.43521404687124,6.34900603519076
"10",4.88546771568535,2,36,0,4.03692921625838,5.87179753974823
"11",5.26496730860562,3,45,0,4.13081467805931,6.50872264382659
"12",4.76860951908628,2,45,0,3.80386576405524,5.84809678730303
"13",5.93396607551581,3,0,0.05,4.63046989314633,7.4118439891709
"14",5.3763235883566,2,0,0.05,4.19336658284711,6.56421504042347
"15",5.79240949629702,3,9,0.05,4.70481486453344,7.00589048237511
"16",5.24806974156074,2,9,0.05,4.34625671646201,6.16496549336307
"17",5.65422979265608,3,18,0.05,4.76028142839734,6.71352391051959
"18",5.1228754295841,2,18,0.05,4.30090663606825,5.92079347253294
"19",5.5193464081912,3,27,0.05,4.67609973126869,6.45924602112268
"20",5.00066766628595,2,27,0.05,4.19669231043276,5.78968102390578
"21",5.38768070819828,3,36,0.05,4.43471594277958,6.3348009829163
"22",4.88137520663233,2,36,0.05,4.03936502320852,5.86219179341621
"23",5.25915593382817,3,45,0.05,4.13490039387362,6.49381847947831
"24",4.7649285051614,2,45,0.05,3.80378914055905,5.83621798320685
"25",5.92546596199385,3,0,0.1,4.62775546624622,7.39110747314796
"26",5.37040584668493,2,0,0.1,4.19416272603271,6.5482863828701
"27",5.78449286244409,3,9,0.1,4.70404007688933,6.99214280105995
"28",5.24263821407961,2,9,0.1,4.34422697227438,6.15307575428138
"29",5.64687366196727,3,18,0.1,4.75766362367357,6.69574222557882
"30",5.117910308528,2,18,0.1,4.29816768804716,5.90881711164839
"31",5.51252856775875,3,27,0.1,4.67297963376513,6.44751841354999
"32",4.99614981170994,2,27,0.1,4.19559960930918,5.7782158152334
"33",5.38137968536908,3,36,0.1,4.43397178841503,6.32062775785013
"34",4.87728612583456,2,36,0.1,4.04180237688193,5.85260177339822
"35",5.25335097354009,3,45,0.1,4.13733532327751,6.47894846261222
"36",4.76125033270706,2,45,0.1,3.80371253866597,5.82436336391131
"37",5.91697802446498,3,0,0.15,4.62504263078087,7.37042898890583
"38",5.36449461869605,2,0,0.15,4.19479158329353,6.53239643605117
"39",5.77658704845665,3,9,0.15,4.70326541778298,6.97842209855298
"40",5.23721230799687,2,9,0.15,4.34219820950667,6.14120901365758
"41",5.63952710157552,3,18,0.15,4.75504728889272,6.67800125307536
"42",5.11294999969649,2,18,0.15,4.29543048459172,5.89686499588576
"43",5.50571914914742,3,27,0.15,4.67122875129611,6.43580555571252
"44",4.9916360387909,2,27,0.15,4.19450726449309,5.76807413330901
"45",5.37508603173839,3,36,0.15,4.43158556186912,6.30648628855727
"46",4.87320047042023,2,36,0.15,4.04424127824002,5.84141057256909
"47",5.24755242066117,3,45,0.15,4.13460951715018,6.46411251494258
"48",4.75757499952988,2,45,0.15,3.80363595838362,5.81253288003006
"49",5.90850224548769,3,0,0.2,4.62233138581713,7.34980837400025
"50",5.35858989722035,2,0,0.2,4.19564556491988,6.51654510578156
"51",5.76869203954689,3,9,0.2,4.70249088719298,6.9647283219068
"52",5.2317920174946,2,9,0.2,4.34017042768722,6.12962740119817
"53",5.63219009902989,3,18,0.2,4.7524324231983,6.66030729550905
"54",5.10799449842554,2,18,0.2,4.29269992206822,5.88493607428562
"55",5.49891814195406,3,27,0.2,4.67126583263007,6.42411397817894
"56",4.98712634384123,2,27,0.2,4.19341527591158,5.75790545329537
"57",5.36879973868776,3,36,0.2,4.43064557182693,6.29237650376343
"58",4.86911823751992,2,36,0.2,4.04668172824483,5.83023785663886
"59",5.24176026811904,3,45,0.2,4.13188573163339,6.44931055836329
"60",4.75390250343813,2,45,0.2,3.80355939971964,5.80072648227802
"61",5.90003860764544,3,0,0.25,4.61962173042241,7.3292454664418
"62",5.35269167509606,2,0,0.25,4.19633392750412,6.50073229810549
"63",5.76080782094726,3,9,0.25,4.70171648509795,6.95106141827795
"64",5.22637733676093,2,9,0.25,4.33814362634457,6.11923048894426
"65",5.62486264189568,3,18,0.25,4.74981902573438,6.64266022826574
"66",5.10304380005562,2,18,0.25,4.29004626870826,5.87298243137675
"67",5.49212553578835,3,27,0.25,4.66755978022927,6.41244364228225
"68",4.9826207231767,2,27,0.25,4.19232364349179,5.74774023407167
"69",5.36252079760882,3,36,0.25,4.42705907692098,6.27829833235461
"70",4.86503942426662,2,36,0.25,4.04912372785896,5.81908652256372
"71",5.23597450884913,3,45,0.25,4.12916396541961,6.43454251494743
"72",4.75023284224179,2,45,0.25,3.80442235155007,5.7889441214711
"73",5.89158709354667,3,0,0.3,4.61691366366463,7.30874010469461
"74",5.34679994516932,2,0,0.3,4.19702244668598,6.48495791929597
"75",5.75293437791035,3,9,0.3,4.7009422114765,6.93742133492668
"76",5.22096825998998,2,9,0.3,4.3361178050075,6.10918701022242
"77",5.61754471775434,3,18,0.3,4.74720709564552,6.62505992706158
"78",5.09809789993173,2,18,0.3,4.28739430593786,5.86105306918406
"79",5.48534132027283,3,27,0.3,4.66267907238451,6.40079450942576
"80",4.9781191731164,2,27,0.3,4.19148547169226,5.74079112611653
"81",5.35624919990326,3,36,0.3,4.42347548804188,6.26425170337678
"82",4.86096402779574,2,36,0.3,4.05069266425657,5.80795652940423
"83",5.23019513579464,3,45,0.3,4.1264442172023,6.41980830694684
"84",4.74656601375253,2,45,0.3,3.80602855107762,5.77718574852603
"85",5.8831476858247,3,0,0.35,4.61420718461228,7.28829212767506
"86",5.34091470029416,2,0,0.35,4.19771112247837,6.46922187585429
"87",5.74507169570894,3,9,0.35,4.70016806630724,6.92380801921673
"88",5.2155647813819,2,9,0.35,4.33409296320502,6.10164856166013
"89",5.61023631420349,3,18,0.35,4.74462008664456,6.60986150555537
"90",5.09315679340339,2,18,0.35,4.28474403268299,5.85331497363414
"91",5.47856548504284,3,27,0.35,4.65780348345543,6.38916654108289
"92",4.97362168998274,2,27,0.35,4.19373702629146,5.73359510020664
"93",5.34998493698283,3,36,0.35,4.41989480283311,6.25023654603549
"94",4.85689204524506,2,36,0.35,4.04980808292308,5.79684783629941
"95",5.22442214190661,3,45,0.35,4.12735916994541,6.40510785679176
"96",4.74290201578372,2,45,0.35,3.80767671011227,5.76545131446015
"97",5.87472036713775,3,0,0.4,4.6115022923344,7.26790137475057
"98",5.33503593333243,2,0,0.4,4.1983999548942,6.45352407450939
"99",5.7372197596359,3,9,0.4,4.69939404956878,6.91022141861518
"100",5.21016689514282,2,9,0.4,4.33206910046634,6.09019688606823
"101",5.60293741885686,3,18,0.4,4.74206186038902,6.59646959640022
"102",5.08822047582462,2,18,0.4,4.28209544787029,5.84752093740587
"103",5.47179801974653,3,27,0.4,4.65376974749869,6.3775596987971
"104",4.96912827010145,2,27,0.4,4.19598986235339,5.72241637729741
"105",5.34372800026931,3,36,0.4,4.41671991435295,6.23625278969552
"106",4.85282347375478,2,36,0.4,4.04897717186419,5.78565383846842
"107",5.21865552014381,3,45,0.4,4.130512982762,6.39098463986407
"108",4.7392408461504,2,45,0.4,3.80933929424908,5.75374077039122
"109",5.86630512016888,3,0,0.45,4.60879898590058,7.24756768573829
"110",5.32916363715388,2,0,0.45,4.19908894394641,6.43786442221734
"111",5.72937855500424,3,9,0.45,4.69862016123975,6.8966439904623
"112",5.20477459548488,2,9,0.45,4.33004621632094,6.07794544912934
"113",5.59564801934433,3,18,0.45,4.73950501426015,6.5831048470559
"114",5.08328894255393,2,18,0.45,4.27944855042711,5.84173279031167
"115",5.46503891404484,3,27,0.45,4.65052687234506,6.3659739441817
"116",4.96463890980159,2,27,0.45,4.19824398058633,5.71125953721092
"117",5.33747838119453,3,36,0.45,4.41382655227127,6.22230036388052
"118",4.84875831046749,2,36,0.45,4.04820195625222,5.77447124679686
"119",5.21289526347282,3,45,0.45,4.13366943090718,6.38047574517061
"120",4.7355825026693,2,45,0.45,3.81100260551059,5.74205406753716
"121",5.85790192762594,3,0,0.5,4.60609726438092,7.22729090090386
"122",5.32329780463609,2,0,0.5,4.19977808964792,6.42420052810898
"123",5.72154806714702,3,9,0.5,4.69784640129877,6.88300576471751
"124",5.19938787662621,2,9,0.5,4.32802431029849,6.06767138242873
"125",5.58836810331186,3,18,0.5,4.73694954751291,6.56976720237475
"126",5.07836218895435,2,18,0.5,4.27680333928144,5.83595052606631
"127",5.45828815761147,3,27,0.5,4.64728627220773,6.35440923891979
"128",4.96015360541552,2,27,0.5,4.20049938169899,5.70087467031745
"129",5.33123607120034,3,36,0.5,4.41093508845342,6.20837919827266
"130",4.84469655252817,2,36,0.5,4.04742699534916,5.76322977510081
"131",5.20714136486796,3,45,0.5,4.13695626618112,6.36998428848473
"132",4.73192698315885,2,45,0.5,3.81266664421544,5.7303911572159
"133",5.84951077224156,3,0,0.55,4.60339712684611,7.20707086096015
"134",5.31743842866448,2,0,0.55,4.20046739201169,6.41151949014721
"135",5.71372828141735,3,9,0.55,4.69707276972447,6.86939459286459
"136",5.19400673279092,2,9,0.55,4.32725400580453,6.05739468329954
"137",5.58109765842146,3,18,0.55,4.73439545940268,6.55645660732125
"138",5.07344021039339,2,18,0.55,4.27693003288929,5.83017413839183
"139",5.45154574013289,3,27,0.55,4.64406709740218,6.34286554476409
"140",4.95567235327893,2,27,0.55,4.20275606640046,5.692967655703
"141",5.32500106173858,3,36,0.55,4.4080455216517,6.19448922271224
"142",4.84063819708418,2,36,0.55,4.04665228917068,5.74927830785606
"143",5.20139381731131,3,45,0.55,4.14032104131392,6.35830709378171
"144",4.72827428543914,2,45,0.55,3.8143314106824,5.71875199084515
"145",5.84113163677311,3,0,0.6,4.60069857236736,7.18690740706601
"146",5.3115855021323,2,0,0.6,4.20115685105067,6.39886348693082
"147",5.70591918318837,3,9,0.6,4.69629926649547,6.85581042101506
"148",5.18863115820911,2,9,0.6,4.32755135429356,6.04713539428272
"149",5.57383667235124,3,18,0.6,4.73184274918523,6.54317300697181
"150",5.06852300224307,2,18,0.6,4.27710521279714,5.82123980864065
"151",5.4448116513083,3,27,0.6,4.64089612702138,6.33135326881814
"152",4.95119514973081,2,27,0.6,4.20501403540024,5.68502364970471
"153",5.31877334427112,3,36,0.6,4.40521715253281,6.18117759469529
"154",4.8365832412853,2,36,0.6,4.0458778377325,5.73536065100186
"155",5.19565261379271,3,45,0.6,4.14368857579497,6.34177910034111
"156",4.72462440733197,2,45,0.6,3.81599690523042,5.70713651994219
"157",5.83276450400265,3,0,0.65,4.59800160001642,7.16680038082504
"158",5.30573901794063,2,0,0.65,4.20184646677782,6.38623246903093
"159",5.69812075785318,3,9,0.65,4.69350016430826,6.84113705616661
"160",5.18326114711682,2,9,0.65,4.32442842975418,6.03689348587452
"161",5.56658513279529,3,18,0.65,4.72929141611672,6.52991632551872
"162",5.06361055987985,2,18,0.65,4.27728045002111,5.8097495548978
"163",5.43808588084963,3,27,0.65,4.637727326044,6.32001448503138
"164",4.94672199111346,2,27,0.65,4.20727328940821,5.67709073274395
"165",5.31255291026978,3,36,0.65,4.40586309229957,6.16880485016811
"166",4.83253168228367,2,36,0.65,4.0451036410504,5.72147672252959
"167",5.18991774730972,3,45,0.65,4.14705887191559,6.32899339585606
"168",4.7209773466608,2,45,0.65,3.81766312817854,5.69554469612367
"169",5.82440935673691,3,0,0.7,4.59530620886561,7.14674962428429
"170",5.29989896899836,2,0,0.7,4.20253623920612,6.37362638711627
"171",5.69033299082487,3,9,0.7,4.68982525625175,6.82301848989542
