"","Field_ID","Date","Date2","Replicate","Treatment","Dispersal","Salinity","Salinity_real","NH4um","NO3um","PO4um","Maple_dmass","Spartina_dmass","Phrag_dmass","Sample..","richness","shannon","simp.even","J"
"CSI004",4,"6/11/15",0,"A",4,3,0,0.3,0.52,0,0,2.66,2.7,8.25,"A_4_11JUN15",613,4.01739368180401,0.0286351348879967,0.626080924827222
"CSI005",5,"6/11/15",0,"A",5,2,5,5.72,0.92,0,7.23,2.19,1.56,5.03,"A_5_11JUN15",492,3.79567205855816,0.047181809392077,0.612556488895372
"CSI006",6,"6/11/15",0,"A",6,3,5,6.04,0.73,0.97,5.09,2.04,1.82,5.01,"A_6_11JUN15",618,4.04106931549541,0.0301637959073091,0.628973026603276
"CSI007",7,"6/11/15",0,"A",7,2,9,9.57,1.11,0,6.23,1.28,1.14,5.2,"A_7_11JUN15",749,4.36556413437611,0.0382651868782424,0.659709579257385
"CSI008",8,"6/11/15",0,"A",8,3,9,10.6,1.02,0,7.27,1.39,0.47,4.01,"A_8_11JUN15",599,3.88922676512703,0.029633239034469,0.608300861722164
"CSI009",9,"6/11/15",0,"A",9,2,13,15.32,0.85,0,8.37,1.07,0.83,0.79,"A_9_11JUN15",764,4.45247198384807,0.0339784032258111,0.670830026927011
"CSI010",10,"6/11/15",0,"A",10,3,13,13.41,1.33,0,8.36,2.23,1.66,5.48,"A_10_11JUN15",719,4.31652801890787,0.0329788171733637,0.656359460587084
"CSI011",11,"6/11/15",0,"A",11,2,0,0.34,0.92,0,0,2.52,1.85,5.2,"A_11_11JUN15",476,3.94853132011966,0.0495691441204847,0.640650598852238
"CSI015",15,"6/11/15",0,"B",4,3,0,0.31,0.82,0.81,7.07,1.7,1.75,5.17,"B_4_11JUN15",776,4.86264467072221,0.0499660767514704,0.730910083263033
"CSI016",16,"6/11/15",0,"B",5,2,5,7.06,0.81,0,4.14,1.85,1.93,6.52,"B_5_11JUN15",633,4.27589188381919,0.046306422989991,0.663043141614443
"CSI017",17,"6/11/15",0,"B",6,3,5,6.12,0.66,0.6,5.52,1.89,1.56,4.3,"B_6_11JUN15",770,4.8515608638321,0.0581889644740958,0.730096982283003
"CSI018",19,"6/11/15",0,"B",8,3,9,10.11,0.73,0,5.91,1.76,1.62,5.47,"B_8_11JUN15",646,4.51755814940063,0.0552036268852445,0.69831246716052
