Sample_Code,Sample_Type,Replicate,Number,Tank_Name,Salinity,Dispersal
CSI001,W,A,1,A1_2015-June11,13,
CSI002,W,A,2,A2_2015-June11,0,
CSI003,W,A,3,A3_2015-June11,0,1
CSI004,W,A,4,A4_2015-June11,0,3
CSI005,W,A,5,A5_2015-June11,5,2
CSI006,W,A,6,A6_2015-June11,5,3
CSI007,W,A,7,A7_2015-June11,9,2
CSI008,W,A,8,A8_2015-June11,9,3
CSI009,W,A,9,A9_2015-June11,13,2
CSI010,W,A,10,A10_2015-June11,13,3
CSI011,W,A,11,A11_2015-June11,0,2
CSI012,W,B,1,B1_2015-June11,13,
CSI013,W,B,2,B2_2015-June11,0,
CSI014,W,B,3,B3_2015-June11,0,1
CSI015,W,B,4,B4_2015-June11,0,3
CSI016,W,B,5,B5_2015-June11,5,2
CSI017,W,B,6,B6_2015-June11,5,3
CSI018,W,B,7,B7_2015-June11,9,2
CSI019,W,B,8,B8_2015-June11,9,3
CSI020,W,B,9,B9_2015-June11,13,2
CSI021,W,B,10,B10_2015-June11,13,3
CSI022,W,B,11,B11_2015-June11,0,2
CSI023,W,C,1,C1_2015-June11,13,
CSI024,W,C,2,C2_2015-June11,0,
CSI025,W,C,3,C3_2015-June11,0,1
CSI026,W,C,4,C4_2015-June11,0,3
CSI027,W,C,5,C5_2015-June11,5,2
CSI028,W,C,6,C6_2015-June11,5,3
CSI029,W,C,7,C7_2015-June11,9,2
CSI030,W,C,8,C8_2015-June11,9,3
CSI031,W,C,9,C9_2015-June11,13,2
CSI032,W,C,10,C10_2015-June11,13,3
CSI034,W,D,1,D1_2015-June11,13,
CSI035,W,D,2,D2_2015-June11,0,
CSI036,W,D,3,D3_2015-June11,0,1
CSI037,W,D,4,D4_2015-June11,0,3
CSI038,W,D,5,D5_2015-June11,5,2
CSI039,W,D,6,D6_2015-June11,5,3
CSI040,W,D,7,D7_2015-June11,9,2
CSI042,W,D,9,D9_2015-June11,13,2
CSI043,W,D,10,D10_2015-June11,13,3
CSI044,W,D,11,D11_2015-June11,0,2
CSI045,W,A,1,A1_2015-June20,13,
CSI046,W,A,2,A2_2015-June20,0,
CSI047,W,A,3,A3_2015-June20,0,1
CSI048,W,A,4,A4_2015-June20,0,3
CSI049,W,A,5,A5_2015-June20,5,2
CSI050,W,A,6,A6_2015-June20,5,3
CSI051,W,A,7,A7_2015-June20,9,2
CSI052,W,A,8,A8_2015-June20,9,3
